uid,register_date,first_order_date,gender,city,province,country,order_count,total_amount,last_order_date,time_gap
2137,2010-04-11,2010-05-03,男,广州,广东,CN,131,220948,2019-03-16,16
27708,2011-03-20,2011-03-25,男,深圳,广东,CN,95,148227,2019-03-29,3
28014,2011-12-01,2016-01-07,女,Paris,,FR,47,285144,2019-03-29,3
3539,2014-10-13,2014-10-13,男,UPLAND,CALIFORNIA,US,25,220389,2018-12-15,107
56149,2010-02-13,2010-03-06,男,番禺,广东,CN,24,189813,2019-02-27,33
44936,2011-03-30,2012-05-01,男,乌鲁木齐市,新疆,CN,54,141012,2018-11-28,124
62751,2012-05-07,2012-08-11,男,北京,北京,CN,166,229303,2019-03-31,1
40066,2014-02-27,2014-03-04,男,广州,广东,CN,81,140819,2019-02-27,33
18793,2011-04-25,2011-06-02,男,.,北京,CN,98,137876,2019-03-30,2
13963,2016-01-18,2016-04-02,男,广州,广东,CN,35,201141,2019-03-29,3
46084,2012-01-04,2012-03-30,男,广州,广东,CN,95,140803,2019-03-29,3
58798,2015-05-04,2015-05-14,男,广州,广东,CN,46,256766,2019-03-19,13
56089,2009-12-04,2010-02-27,男,广州市,广东省,CN,54,160825,2019-02-23,37
58693,2015-12-11,2016-08-05,男,PARIS,,FR,21,185493,2019-03-10,22
28780,2017-07-13,2017-07-13,男,广州,广东,CN,110,187588,2019-03-31,1
27836,2011-07-16,2011-08-18,男,.,北京,CN,134,140356,2019-03-25,7
38073,2010-01-26,2010-03-01,男,长沙,湖南,CN,107,135811,2019-03-30,2
22629,2015-07-15,2015-07-15,男,SUMIDA-KU,TOKYO-TO,JP,70,219282,2018-06-02,303
12326,2013-05-21,2013-06-12,男,.,北京,CN,189,235687,2019-03-31,1
24222,2017-01-07,2017-02-22,男,广州,广东,CN,87,132283,2019-03-28,4
916,2011-11-18,2012-05-31,男,番禺,广东,CN,29,211369,2019-03-21,11
45008,2012-12-09,2012-12-09,男,乌鲁木齐,新疆,CN,48,130135,2019-03-31,1
11523,2012-07-05,2012-07-16,男,深圳,广东,CN,68,135374,2019-03-31,1
56088,2009-12-03,2010-01-13,男,广州,广东,CN,111,216560,2019-03-28,4
56573,2012-11-25,2012-12-13,女,广州,广东,CN,69,131660,2019-03-10,22
38883,2013-02-01,2013-02-01,男,广州,广东,CN,126,204371,2019-03-28,4
38035,2009-12-28,2010-05-11,男,深圳,广东省,CN,55,153868,2019-03-17,15
11034,2010-01-26,2010-03-09,男,北京,.,CN,76,214921,2019-03-11,21
47143,2010-02-17,2010-02-17,男,.,北京,CN,68,127335,2019-03-17,15
29033,2009-11-19,2009-11-19,男,HK,HK,HK,77,136121,2019-03-31,1
16812,2015-06-09,2015-06-27,男,PUCHONG,Selangor Darul Ehsan,MY,84,186821,2019-03-26,6
5241,2016-05-13,2016-05-13,男,杭州市,浙江,CN,96,204612,2019-03-18,14
49208,2015-05-28,2015-10-16,男,北京,北京,CN,30,164001,2019-03-24,8
38241,2010-08-13,2010-08-14,男,广州,广东,CN,85,121097,2019-03-13,19
38456,2012-11-14,2012-11-15,男,TORRANCE,CALIFORNIA,US,32,182563,2019-01-04,87
44377,2015-07-10,2015-07-13,男,成都,四川,CN,34,170121,2019-03-13,19
49737,2015-10-30,2015-10-31,男,石狮,福建,CN,197,275800,2019-03-31,1
47919,2013-12-14,2015-05-20,女,,VIC,AU,30,184194,2019-03-25,7
23528,2017-08-15,2017-08-15,男,LOS ANGELES,CA,US,18,209911,2019-01-30,61
58088,2014-10-19,2014-10-22,男,深圳,广东,CN,64,137636,2019-03-13,19
51079,2016-12-20,2016-12-20,男,上海,上海,CN,149,219108,2019-03-28,4
19420,2012-11-17,2016-08-22,男,长沙市,湖南,CN,61,143186,2019-03-19,13
58753,2015-10-13,2017-06-24,男,PARIS,PARIS,FR,36,209839,2019-02-25,35
13517,2015-08-14,2015-12-29,女,PARIS,PARIS,FR,22,170406,2019-03-10,22
56048,2018-03-15,2018-03-17,男,Haarlem,Noord-Holland,NL,23,169224,2019-03-03,29
50434,2016-06-08,2016-06-21,男,LOS ANGELES,,US,16,163191,2019-03-14,18
13869,2015-10-26,2015-10-27,男,湛江,广东,CN,102,140220,2019-03-24,8
47432,2010-10-21,2011-02-21,男,广州,广东,CN,81,159255,2019-03-26,6
60658,2017-06-29,2017-06-29,女,MANTES LA VILLE,FR,FR,30,208687,2019-03-26,6
9744,2011-07-13,2013-07-11,男,.,北京,CN,127,170611,2019-03-20,12
18111,2013-09-19,2013-09-19,男,乌鲁木齐,新疆,CN,56,116728,2019-03-30,2
42444,2017-04-25,2017-05-18,男,东莞,广东,CN,79,208797,2019-03-31,1
11055,2010-02-17,2010-03-08,男,阳江,广东,CN,97,155881,2019-03-23,9
47107,2009-11-18,2009-11-18,女,深圳,广东,CN,158,205159,2019-03-30,2
62880,2011-05-08,2014-01-16,男,福州,福建,CN,64,115300,2019-03-25,7
49441,2015-07-03,2015-07-03,男,深圳市,广东,CN,51,137500,2019-03-19,13
20569,2012-06-27,2015-03-12,女,重庆,重庆,CN,29,157056,2018-11-09,143
47687,2012-10-04,2012-10-24,男,广州,广东,CN,69,114077,2019-03-31,1
37305,2013-06-13,2013-06-13,男,广州,广东,CN,88,122619,2019-03-17,15
58189,2016-01-31,2016-01-31,男,南宁,广西,CN,42,162453,2019-03-17,15
25857,2012-01-26,2012-01-26,男,.,北京,CN,129,109813,2019-03-22,10
951,2011-11-28,2011-11-28,男,.,北京,CN,67,123464,2019-03-18,14
4178,2015-04-13,2018-02-21,男,SIPASDENA,CA91030,US,12,146784,2019-02-08,52
2010,2009-11-26,2010-02-13,男,广州市,广东,CN,100,162250,2019-03-28,4
38290,2010-09-23,2011-05-17,男,广州,广东,CN,69,118726,2019-03-21,11
57622,2016-04-13,2016-04-13,男,Zwijndrecht,ZUID HOLLAND,NL,17,125349,2019-02-27,33
2001,2009-11-11,2009-11-27,女,广州市,广东省,CN,12,146784,2019-03-23,9
60311,2017-04-27,2017-05-18,男,香港,香港,HK,54,144562,2019-03-28,4
36030,2013-07-28,2013-07-28,男,珠海,广东,CN,79,123985,2019-03-11,21
35766,2013-09-08,2013-09-08,男,长春,吉林,CN,87,105119,2019-03-27,5
33319,2017-04-28,2017-04-28,男,乌鲁木齐,新疆,CN,53,144682,2019-03-15,17
55096,2012-01-03,2012-03-05,男,中山,广东,CN,92,134823,2019-03-15,17
30681,2015-05-26,2015-11-05,男,,,JP,48,150537,2019-03-21,11
17837,2010-10-22,2010-10-22,男,长春,吉林,CN,90,108184,2019-03-29,3
3872,2014-01-18,2014-06-26,男,香港,香港,HK,56,104663,2019-03-23,9
56201,2010-04-05,2010-05-20,男,广州市,广东,CN,146,191328,2019-03-28,4
4468,2016-09-13,2016-09-15,女,ANDE,ANDE,FR,35,167150,2019-03-17,15
32602,2016-10-08,2016-10-08,男,Glendale,CA,US,33,174046,2019-01-29,62
11277,2010-08-26,2010-10-29,男,深圳,广东,CN,142,177357,2019-03-25,7
45117,2015-11-17,2016-02-06,男,Suwanee,GA,US,31,204438,2019-02-17,43
19051,2011-11-28,2011-11-29,男,北京,北京,CN,53,102999,2019-03-03,29
19371,2012-05-30,2012-05-30,男,CRONULLA,NSW,AU,21,159605,2019-03-18,14
60020,2017-06-07,2017-06-16,女,LOS ANGELES,LA,US,16,195712,2019-03-05,27
2007,2009-11-25,2010-04-19,男,广州,广东,CN,85,155704,2019-03-29,3
56093,2009-11-24,2009-11-24,男,广州市,广东省,CN,71,119961,2019-03-10,22
62762,2013-08-23,2013-08-25,男,沈阳,辽宁,CN,130,167593,2019-03-30,2
49215,2015-05-07,2015-05-29,男,深圳,广东,CN,89,149557,2019-03-28,4
20362,2010-07-29,2010-09-14,男,广州,广东,CN,83,103087,2019-03-21,11
38022,2009-12-02,2010-06-30,男,广州市,广东省,CN,99,162215,2019-03-30,2
47179,2010-03-16,2010-04-18,男,广州,广东,CN,40,198627,2019-03-05,27
17903,2013-05-30,2013-05-30,男,长春,吉林,CN,52,99524,2019-03-21,11
45581,2010-12-29,2010-12-29,男,广州,广东,CN,65,119794,2019-03-22,10
47255,2010-04-23,2010-06-21,女,武汉,湖北,CN,34,151642,2019-03-29,3
876,2011-08-14,2011-08-14,男,.,北京,CN,83,149993,2019-03-26,6
6088,2016-11-13,2017-02-04,男,上海市,上海,CN,65,109089,2019-03-08,24
50931,2017-12-20,2017-12-25,女,VALINDA,CA,US,18,146238,2019-03-09,23
38443,2012-06-07,2012-06-07,男,广州,广东,CN,66,102689,2019-03-28,4
8850,2011-04-17,2011-05-14,男,乌鲁木齐,新疆,CN,52,105167,2019-03-30,2
59307,2016-03-14,2017-05-27,男,广州,广东,CN,27,182561,2019-02-23,37
20121,2009-11-30,2010-01-05,男,汕头市,广东省,CN,193,209912,2019-03-31,1
53451,2017-06-26,2018-05-16,男,乌鲁木齐,新疆,CN,65,184730,2019-03-26,6
59669,2017-04-11,2017-07-30,男,东莞,广东,CN,14,144708,2019-02-02,58
49369,2014-10-19,2015-01-28,男,东莞,广东,CN,24,213058,2019-03-21,11
52814,2015-10-09,2015-10-10,男,大连,辽宁,CN,89,177556,2019-03-15,17
57377,2013-06-20,2013-11-13,男,.,北京,CN,57,98104,2019-03-24,8
31219,2014-11-13,2014-11-13,男,上海,上海,CN,101,140188,2019-03-20,12
29392,2018-03-03,2018-03-03,男,东莞,广东,CN,19,155552,2019-03-16,16
12578,2011-06-29,2011-06-29,女,广州,广东,CN,95,140931,2019-03-08,24
19439,2013-04-01,2016-01-05,男,.,北京,CN,85,97855,2019-03-25,7
29034,2009-11-24,2009-12-24,男,广州,广东,CN,108,169746,2019-03-10,22
2012,2009-11-26,2012-02-02,男,深圳市,广东省,CN,64,97250,2019-03-28,4
47194,2010-04-02,2010-04-02,男,,北京,CN,113,204853,2019-03-29,3
26406,2014-08-27,2014-11-12,男,乌鲁木齐,新疆,CN,31,95766,2019-03-31,1
56437,2010-11-16,2011-02-20,男,广州,广东,CN,79,129119,2019-03-27,5
59509,2017-05-02,2017-05-02,男,沈阳,辽宁,CN,109,163010,2019-03-15,17
13061,2014-03-29,2014-11-03,男,广州,广东,CN,19,201613,2019-03-14,18
12155,2014-06-04,2014-06-04,男,广州,广东,CN,120,172352,2019-03-07,25
26960,2011-04-15,2011-07-02,男,乌鲁木齐,新疆,CN,45,116917,2019-03-31,1
1123,2012-05-07,2017-02-22,男,AMSTELVEEN,NOORD HOLLAND,NL,19,136374,2018-11-18,134
12536,2015-05-27,2015-10-10,男,Escondido,CA,US,22,135717,2018-09-30,183
43627,2014-12-27,2014-12-27,男,北京,北京,CN,80,105118,2019-03-17,15
37021,2011-12-25,2013-06-16,男,香港,香港,HK,82,106666,2019-03-26,6
40792,2015-08-08,2015-12-11,女,广州市天河区,广东,CN,90,179472,2019-03-20,12
22418,2015-08-06,2015-10-06,男,PARIS,IIE DE FRANCE,FR,17,143287,2018-10-27,156
27900,2011-09-15,2011-11-19,男,广州,广东,CN,39,97116,2019-03-23,9
21245,2013-05-05,2016-02-15,男,上海,上海,CN,102,102961,2019-03-21,11
2006,2009-11-24,2009-12-04,男,广州,广东,CN,90,158149,2019-03-21,11
11028,2010-01-22,2010-03-08,男,广州,广东,CN,125,176585,2019-03-25,7
62642,2012-02-07,2012-02-07,男,长春,吉林,CN,77,94142,2019-03-09,23
29051,2009-12-07,2009-12-07,女,广州,广东,CN,79,157844,2019-03-26,6
19073,2011-11-09,2012-03-06,男,广州,广东,CN,116,165365,2019-03-19,13
58686,2016-01-19,2016-01-19,男,北京,北京,CN,58,91515,2019-03-17,15
781,2011-07-23,2011-07-23,男,湛江,广东,CN,109,144321,2019-03-24,8
36780,2011-07-10,2011-07-10,男,广州,广东,CN,180,182540,2019-03-23,9
1359,2015-01-13,2015-02-11,男,广州,广东,CN,103,218087,2019-03-31,1
29076,2010-01-19,2010-04-11,男,广州,广东,CN,107,155834,2019-03-24,8
49714,2016-03-29,2016-04-12,女,COVINA,CA,US,14,125796,2018-12-02,120
55458,2015-02-12,2015-06-11,男,广州,广东,CN,149,155588,2019-03-30,2
59905,2016-09-12,2016-09-12,男,广州,广东,CN,76,94185,2019-02-12,48
28087,2012-02-10,2013-05-11,男,番禺,广东,CN,55,94577,2019-03-29,3
14825,2016-09-20,2016-09-20,男,长沙,湖南,CN,80,92022,2019-03-28,4
20173,2010-01-23,2010-02-12,女,广州,广东,CN,40,139742,2019-03-16,16
18700,2011-01-15,2011-02-24,男,广州,广东,CN,142,183472,2019-03-25,7
47040,2018-03-16,2018-04-28,男,,,US,14,126850,2019-03-09,23
5040,2016-02-25,2016-05-07,男,广州,广东,CN,24,125340,2019-03-02,30
19751,2016-05-11,2017-01-09,女,CULVER CITY,CA,US,13,126495,2019-03-14,18
9980,2011-12-06,2012-03-16,男,广州,广东,CN,85,151736,2019-03-30,2
38079,2010-03-02,2010-05-20,男,.,北京,CN,68,117537,2019-03-29,3
38098,2010-03-31,2010-05-05,男,广州,广东,CN,116,161730,2019-03-24,8
33282,2017-04-09,2017-04-09,男,.,北京,CN,123,89350,2019-03-30,2
53999,2012-04-03,2012-04-03,男,乌鲁木齐市,新疆,CN,47,91018,2019-03-15,17
58806,2015-08-08,2016-01-03,男,PARIS,,FR,14,123662,2018-12-28,94
18869,2011-06-20,2011-06-20,男,深圳,广东,CN,49,90602,2018-12-16,106
47265,2010-05-27,2010-07-08,男,深圳,广东,CN,86,157799,2019-03-30,2
29997,2013-02-17,2013-12-17,男,敦化,吉林,CN,60,106278,2019-03-21,11
56325,2010-07-24,2010-12-03,男,广州,广东,CN,110,166843,2019-03-28,4
13606,2015-08-10,2015-08-10,男,MEXICO,,MX,15,183480,2018-10-05,178
2104,2010-03-20,2010-04-11,男,广州,广东,CN,67,119347,2019-03-30,2
40556,2015-02-13,2015-02-26,男,惠州,广东,CN,51,99034,2019-03-31,1
11511,2015-05-17,2015-05-17,男,上海,上海,CN,74,96520,2019-01-23,68
49752,2015-09-18,2015-10-06,男,PARIS,0,FR,12,121632,2019-03-05,27
58064,2014-11-01,2015-02-04,男,深圳,广东,CN,59,85171,2019-03-26,6
19497,2014-08-27,2014-09-16,男,广州,广东,CN,120,176951,2019-03-14,18
21578,2013-09-02,2013-09-02,女,广州,广东,CN,60,88428,2019-03-29,3
45772,2011-06-05,2011-06-05,男,深圳,广东,CN,57,90553,2019-03-31,1
51134,2016-12-17,2016-12-18,男,PARIS,PARIS,FR,43,195034,2019-02-04,56
53729,2013-04-20,2013-04-20,男,长春,吉林,CN,113,151060,2019-03-30,2
44980,2010-05-01,2010-06-10,男,乌鲁木齐,新疆,CN,42,165589,2019-03-09,23
11139,2010-04-27,2010-04-27,男,广州,广东,CN,58,94554,2019-03-16,16
11327,2010-10-12,2010-11-29,男,ROWLAND HEIGHTS,CALIFORNIA,US,16,184227,2019-03-02,30
20131,2009-11-23,2010-03-23,女,广州市,广东省,CN,122,180074,2019-03-14,18
47276,2010-05-29,2010-07-17,男,广州,广东,CN,72,91164,2019-03-26,6
13323,2014-11-13,2014-11-17,男,武汉市,湖北省,CN,113,121394,2019-03-22,10
56336,2010-08-02,2010-09-05,男,.,北京,CN,77,157206,2019-03-30,2
19460,2013-12-13,2014-01-15,男,珠海,广东,CN,57,91658,2019-03-22,10
15014,2017-01-03,2017-01-03,男,CORALGABLES,FL,US,16,115401,2019-03-19,13
21884,2014-05-08,2014-05-08,男,深圳,广东,CN,77,151637,2019-03-23,9
11030,2010-01-20,2010-01-20,男,番禺,广东,CN,88,117157,2019-03-29,3
10164,2012-05-26,2013-01-24,男,深圳,广东,CN,13,137604,2019-02-10,50
2196,2010-05-20,2010-07-11,男,汕头,广东,CN,124,113615,2019-03-29,3
38329,2010-11-17,2011-04-11,男,广州,广东,CN,69,147549,2019-03-01,31
3092,2013-02-25,2014-01-30,男,广州,广东,CN,66,86430,2019-03-31,1
31122,2015-12-01,2015-12-01,男,广州,广东,CN,26,178921,2018-12-21,101
44276,2014-08-01,2014-08-13,女,哈尔滨,黑龙江,CN,59,94946,2019-03-28,4
38451,2012-06-03,2012-06-03,男,广州市,广东,CN,125,189177,2019-03-31,1
30926,2014-03-14,2014-03-14,男,广州市,,CN,97,171544,2019-03-21,11
36573,2011-01-25,2011-01-25,女,广州,广东,CN,57,144505,2019-03-29,3
17463,2016-01-04,2016-03-26,男,和田,新疆,CN,64,262290,2019-03-27,5
20144,2009-12-24,2010-03-01,女,广州市,广东省,CN,49,88903,2018-12-09,113
20731,2012-09-16,2013-04-13,女,珠海,广东,CN,58,84353,2019-03-30,2
2129,2010-04-06,2010-04-27,男,郑州市,河南省,CN,136,145540,2019-03-27,5
53365,2015-12-17,2016-01-26,女,乌鲁木齐,新疆,CN,68,148879,2019-03-28,4
3018,2013-02-10,2017-03-10,男,乌鲁木齐,新疆,CN,71,180226,2019-03-28,4
36912,2011-11-01,2011-12-17,男,广州,广东,CN,116,130636,2019-03-16,16
1159,2012-05-27,2012-07-27,男,广州,广东,CN,110,172640,2019-03-31,1
39380,2013-07-21,2014-04-06,男,广州,广东,CN,105,145253,2019-03-20,12
12218,2014-03-03,2014-03-03,男,深圳,广东,CN,52,83356,2019-03-11,21
38199,2010-06-16,2010-07-12,男,广州,广东,CN,106,167199,2019-03-29,3
38134,2010-04-17,2010-04-25,女,深圳,广东,CN,11,112128,2018-10-06,177
49346,2015-04-28,2015-04-29,男,广州,广东,CN,59,92635,2019-03-19,13
46325,2012-11-28,2013-07-02,男,广州,广东,CN,59,145433,2019-03-14,18
27661,2011-01-16,2011-01-17,男,广州市,广东,CN,83,94441,2019-03-06,26
39773,2017-05-08,2017-05-12,女,Cerritos,California,US,10,122320,2018-05-20,316
3321,2013-08-31,2013-08-31,男,.,北京,CN,116,136228,2019-03-31,1
47224,2010-04-19,2010-06-30,男,广州市,,CN,95,138873,2019-03-30,2
14675,2016-08-19,2016-08-19,男,.,北京,CN,79,151183,2019-03-26,6
36635,2011-03-28,2011-03-28,男,深圳,广东,CN,76,86061,2019-03-25,7
20685,2012-07-13,2012-09-27,男,郑州,河南,CN,100,91727,2019-03-31,1
20116,2009-11-20,2009-11-22,男,广州,广东,CN,107,165304,2019-03-31,1
27657,2011-02-02,2011-03-02,男,,,US,25,109336,2018-06-16,289
30225,2013-06-01,2013-06-02,女,广州,广东,CN,114,151625,2019-03-19,13
39847,2015-03-10,2015-03-10,男,深圳,广东,CN,57,84080,2019-03-23,9
19134,2012-01-09,2012-09-26,女,广州,广东,CN,76,119514,2019-03-10,22
30983,2017-10-17,2017-10-17,男,PARIS,,FR,11,111496,2018-12-24,98
53954,2011-04-11,2011-04-11,男,克拉玛依,新疆,CN,43,94144,2019-03-02,30
13680,2016-02-22,2016-10-21,男,PARIS,ile de france,FR,20,148827,2019-03-10,22
20401,2010-09-09,2010-10-02,女,广州,广东,CN,56,82981,2019-03-28,4
23819,2016-09-27,2016-10-06,男,长春,吉林,CN,84,140535,2019-03-30,2
3110,2013-03-15,2014-01-29,男,.,北京,CN,111,141864,2019-03-26,6
23531,2016-05-29,2016-05-29,男,广州,广东,CN,109,126167,2019-03-14,18
27678,2011-03-02,2011-03-02,男,深圳,广东,CN,60,98083,2019-03-27,5
4581,2015-07-25,2015-08-06,男,番禺,广东,CN,61,161499,2019-03-29,3
3339,2013-08-28,2013-10-18,男,广州,广东,CN,43,93447,2019-03-23,9
36953,2011-12-07,2012-02-27,男,广州,广东,CN,149,157683,2019-03-27,5
44217,2015-10-20,2017-12-06,男,乌,新疆,CN,43,111807,2019-03-28,4
13818,2015-04-25,2015-04-25,男,广州,广东,CN,56,114358,2019-01-09,82
8608,2010-11-15,2010-11-15,男,长春,吉林,CN,94,109142,2019-03-29,3
2303,2010-08-30,2010-09-24,男,广州,广东,CN,84,139338,2019-03-19,13
33645,2017-07-20,2017-07-20,女,深圳,广东,CN,16,107047,2019-03-23,9
27651,2011-01-24,2011-03-08,男,上海市,上海市,CN,128,131315,2019-03-15,17
9874,2011-10-26,2012-11-27,男,广州市,广东,CN,124,130776,2019-03-30,2
50023,2016-01-28,2016-02-07,男,广州,广东,CN,111,130622,2019-03-28,4
40219,2014-07-09,2014-07-09,男,广州,广东,CN,77,134838,2019-03-31,1
35876,2011-04-02,2011-06-09,男,合肥,安徽,CN,42,77936,2019-03-10,22
58293,2014-11-02,2015-03-24,男,广州,广东,CN,124,160524,2019-03-31,1
5737,2016-07-24,2016-07-24,男,北京,北京,CN,19,96503,2019-03-26,6
39208,2015-08-28,2015-08-29,男,NEYAGAWA,OSAKAFU,JP,53,134627,2019-02-16,44
13798,2016-05-31,2016-08-19,男,贵阳,贵州,CN,61,83245,2019-03-31,1
58411,2014-12-12,2015-04-15,,MENAI,SYDNEY,AU,17,105377,2019-03-31,1
13846,2016-08-27,2016-08-27,男,Ibaraki-shi,Osaka,JP,48,119036,2019-03-28,4
27945,2011-10-13,2012-05-21,男,深圳,广东,CN,26,94249,2019-03-10,22
54719,2011-03-11,2011-03-21,男,广州,广东,CN,43,79426,2019-03-01,31
4234,2014-08-07,2015-01-17,男,广州,广东,CN,87,115134,2019-01-31,60
13056,2015-05-22,2015-08-22,男,.,北京,CN,114,124499,2019-03-31,1
38816,2015-02-19,2015-02-24,男,上海,上海,CN,54,75651,2019-03-12,20
22490,2014-12-09,2014-12-09,男,广州,广东,CN,68,163454,2019-03-12,20
47762,2012-09-27,2012-11-28,男,.,北京,CN,112,134757,2019-03-26,6
30223,2013-10-12,2013-10-12,男,.,北京,CN,73,163958,2019-03-19,13
35584,2012-06-11,2012-06-11,男,乌苏,新疆,CN,49,80641,2019-02-23,37
4835,2017-08-22,2017-08-30,男,ISEHARA,KANGAWA,JP,40,127004,2019-03-30,2
38084,2010-03-16,2010-04-15,男,广州,广东,CN,82,135413,2019-03-27,5
49017,2014-01-17,2014-03-01,男,北京市,北京,CN,154,129582,2019-03-31,1
29375,2010-11-17,2011-04-04,男,广州,广东,CN,58,145294,2019-03-19,13
46350,2013-08-12,2013-08-15,男,顺德,广东,CN,52,97731,2019-03-30,2
58999,2015-11-10,2015-11-10,男,南沙,广东,CN,43,78765,2019-03-24,8
1294,2014-02-09,2015-07-18,男,广州,广东,CN,105,138593,2019-03-28,4
728,2011-01-10,2011-01-10,男,洛阳,河南,CN,97,116461,2019-03-28,4
55509,2015-06-09,2015-06-09,男,广州,广东,CN,17,121870,2018-12-11,111
49453,2015-02-26,2015-02-26,男,克拉玛依,新疆,CN,32,77106,2019-02-02,58
31394,2015-05-31,2015-06-19,女,广州市,广东,CN,37,119320,2019-03-27,5
35877,2011-03-31,2011-12-10,男,长春,吉林,CN,86,159612,2019-03-27,5
59627,2017-03-17,2017-04-26,女,长春市,吉林省,CN,62,139995,2019-03-19,13
23026,2015-12-16,2015-12-16,男,北京,北京,CN,67,127081,2019-03-21,11
9716,2011-06-29,2011-08-25,男,广州,广东,CN,84,129836,2019-03-24,8
21656,2014-01-15,2014-02-25,男,吉林市,吉林,CN,117,132853,2019-03-24,8
4004,2014-06-10,2014-06-12,男,.,北京,CN,122,129272,2019-03-30,2
18838,2011-05-04,2011-05-04,男,广州,广东,CN,87,131029,2019-03-08,24
35464,2014-01-20,2014-01-20,男,沈阳,辽宁,CN,73,75413,2019-03-30,2
8434,2010-09-09,2010-09-09,男,大连,辽宁,CN,97,113939,2019-03-24,8
4446,2015-02-23,2015-02-24,男,佛山,广东,CN,93,150612,2019-03-27,5
54,2015-02-23,2015-04-03,男,广州,广东,CN,83,134621,2019-03-24,8
49682,2015-09-15,2015-09-16,男,广州,广州,CN,105,145865,2019-03-21,11
38902,2012-12-27,2013-11-08,男,汕头,广东,CN,27,164336,2019-02-05,55
18679,2010-12-21,2010-12-21,女,东莞,广东,CN,24,110964,2019-03-01,31
18811,2011-04-06,2011-04-06,男,广州,广东,CN,137,122439,2019-03-30,2
42861,2017-09-02,2017-09-12,男,广州,广东,CN,57,90144,2019-03-10,22
22286,2014-12-05,2014-12-12,男,广州,广东,CN,50,89115,2019-03-25,7
23172,2016-05-26,2016-05-26,男,ADACHI-KU,TOKYO-TO,JP,45,139898,2019-03-24,8
23537,2016-10-16,2016-11-01,男,大连,辽宁,CN,109,122024,2019-03-31,1
12880,2014-12-15,2014-12-15,男,.,北京,CN,46,80830,2019-03-14,18
28325,2013-07-22,2013-08-11,男,广州市,广东,CN,77,139876,2019-03-15,17
857,2011-10-01,2011-11-21,男,佛山,广东,CN,60,154736,2019-03-27,5
14124,2017-06-12,2017-06-12,男,FUJIEDA-SHI,SHIZUOKA-KEN,JP,66,151383,2019-03-26,6
55273,2012-04-02,2012-04-05,男,广州,广东,CN,77,144030,2019-03-28,4
26641,2011-03-04,2011-03-04,男,沈阳,辽宁,CN,77,80208,2019-03-16,16
62340,2015-10-21,2015-11-24,男,鄯善县,新疆,CN,28,77108,2019-03-19,13
