phone_no_m,city_name,county_name,idcard_cnt,arpu_201908,arpu_201909,arpu_201910,arpu_201911,arpu_201912,arpu_202001,arpu_202002,arpu_202003,label,voc_call_dur_count,voc_call_dur_sum,voc_call_dur_mean,voc_opposite_no_m_nunique,voc_call_type_1_cnt_sum,voc_call_type_2_cnt_sum,voc_imei_m_nunique,sms_sms_send_cnt_sum,sms_sms_recv_cnt_sum,sms_opposite_no_m_count,sms_opposite_no_m_nunique,sms_request_datetime_count,app_busi_name_count,app_busi_name_nunique,app_flow_sum,app_flow_mean
b16920c8dfc8a0e1349db12d2d3285f77e31c6a6d3ed2a68725f41e628c0f98d5ce55bb71ca33e3bc52acbfaf946cd2bdae06142413dece51698d1a3444d2935,成都,都江堰分公司,1,0,0,0,0,3.09,1,1.4,1,0,346,26793,77.4364161849711,91,98,248,1,6,695,701,206,701,303,143,4659.376886367798,15.37748147316105
7edc0ed9e4afb9648b18ae4517516ed1c641103c2f83dd3d4d75f56c9c01bd0e46bf26962bc343453579d1a858a4471ab7b864a81f33b0edb1cd558c34f79205,内江,洪雅县,1,48,48,48,48,48,48,48,48,0,373,28232,75.68900804289544,36,163,210,1,0,369,369,17,369,8,3,0.0707817077636715,0.0088477134704589
73e9ee7e186d0483f568bc1227cfc407fb5548a441dc1943841c723faded61e1f9522da24287b565e1472002308fb8f0db9c5bfa67f4e1e0b48210c3da018629,宜宾,珙县,1,74.05,115.61,126.12,181.64,116.5,104.7,54.5,54.5,1,2295,147348,64.20392156862745,337,1499,796,2,212,1375,1587,444,1587,992,321,52586.69567871094,53.010781934184415
afb879635550e8c192c9507e5481faa3e32b440a1809eb98dd6940ec675a5098225f834d1d08262ee0a00b3bf97b8b75fb620eb0c136228b3e3405173fe43fa1,成都,龙泉驿区,3,49.22,52.62,47.3,47.2,47.6,47.1,47,48.52,0,812,61651,75.92487684729063,97,812,0,1,19,1527,1546,267,1546,104,55,83.48329067230225,0.8027239487721369
d374d619082ea422e8e99bb417beb4e860e49c3628bde9efccf8246dc977a010fce803d5c351dea47392f94d770f11c4ec40c34459f553ac161b78d7304fb1b2,达州,双流区,1,79.3,79.48,79.5,79.1,79.4,79.2,79,79.1,0,1425,77200,54.175438596491226,279,382,1043,2,20,3273,3293,511,3293,42,31,45.110196113586426,1.0740522884187245
9f5a6e330a5a45c879f6f6065d9a2e73d0053c425cd5b2b9ee0ac292ec40aef23e29b2d7f01207e44eceb0db0d4feb00559c67a7673637bfb5f7d9d49f9cbe4a,成都,平昌县,3,115.59,122.56,115.76,115.4,115.02,115.87,121.4,115.41,1,164,22978,140.109756097561,56,152,12,3,114,3675,3789,719,3789,1429,396,42431.923827171326,29.6934386474257
6988a9ed8a63aa4b3c6945f625e3f9d0be3a376585d3e2f4e05c28e01a387161be31cd54d38e269780bf4b633ecc64f505cce2db6fb32a1a2bcb3d1943ab3897,南充,蓬安县,2,82.74,91.75,82.54,82.09,93.67,117.43,159.66,110.72,0,1865,128023,68.6450402144772,165,1071,770,11,27,1293,1320,257,1320,660,240,47622.795597076416,72.15575090466123
c32f698c84a8ad2964b8b76c526d6c08ec5db44ff1d2e4394e19bb292f45aeaa216e006a3bafba99f86b7c69058d6c45d8cc7588ff5244bf149fa8bf4e5f1b77,成都,温江区,2,0,5.14,19,19,19,19,19,57.01,1,100,13133,131.33,76,94,6,7,1,93,94,21,94,30,27,9.145774841308592,0.304859161376953
8b9179c987165956a6221eaf4c738182f59a07a13ccf4b3957e1ef2f5633ac1325efa9aeb94a1fa1d6e87ba854e13f994a15af06f8698d8f2a8b0adb1df4f53c,成都,未知,3,0,0,0,196.41,0,0,0,0,1,366,46891,128.11748633879782,345,352,14,27,43,184,227,6,227,0,0,0,0
168aa25a3c9d315165077fe4ce43cf809416bc7d075c34513c7c03d1356f6d9dd54103ed93ce05ebae0de6bff237e1ec945d250aa17823ed828e890e2ce615e1,泸州,龙马潭分公司,1,0,1,29,29,29,29,29,29,0,62,4145,66.85483870967742,24,47,15,2,50,744,794,81,794,1638,598,167815.59647655487,102.45152410046084
5f16fe8f53b70292de45477651ae40457d9e251b2812b934a44ac6e75786442078bbc5e521ee9d2c4589b21ab0c0e75e123f36b794d5f17e65fb6841a4eb7fb5,乐山,蓬溪县,3,169,169,169,169,169,170.1,174.3,169,0,518,54611,105.42664092664091,53,286,232,4,46,618,664,124,664,758,262,73539.78682041168,97.01818841742966
becad33ef685aa51b1c6ead188193059f7bb2008c074fc77fc8619355e0bfff502b64569c660d78bf0ca4c4d843b1b68b8275a64856fd983ed47d741225a83bd,雅安,天全县,3,1,1.1,1,1,1,1,1,1,0,47,3414,72.63829787234043,16,47,0,1,0,467,467,12,467,83,82,1777.244291305542,21.412581822958337
928df9be4c3e7304c83736a39aa81fa9fe3a1c76e01710e6581b0277ebced37390ce2472560921e7d62b2289eba6fb14eaaf9eff1a095dbcc2e872db6826650e,成都,高新南区,2,0,0,29.57,59.9,58.9,58.9,58.9,58.9,1,9446,275699,29.18685157738725,9426,9446,0,2,7,589,596,51,596,30,29,98.05223751068117,3.2684079170227056
51fe5bf2476c2fc6903fc45bcec063ec8a16adda2b738dd620f062287d91b234abbbf3e68e01e9c63de97bd38bbf041a5571dbac501834012d4d529c6560d86a,乐山,市中区,2,50.8,31.4,41.6,33.2,28.8,43.4,26.4,27.1,0,373,55469,148.71045576407508,21,315,53,1,0,973,973,33,973,136,48,23.046738624572747,0.1694613134159761
a7aa19e6e8ea1ccf49dae947a55a85d3001fb347ecb79588fa54410402e2660423fd7f28b14303110f2051e36d84943029d4178899ad53df185b6e8121c98956,宜宾,兴文县分公司,1,44.2,52.99,54.28,45.32,45.1,49.7,43.5,43.76,0,1702,109604,64.39717978848414,424,620,1082,2,47,1831,1878,197,1878,116,61,187.8023338317871,1.6189856364809234
433bbcfb740f49bbe2392c84158445bd7648367d8ad05180cd55f8236dadf9c80ac7f27f037fc88507d00abad2604c60ef761566e6035c8f24ef4972fff2211f,成都,金堂县,2,21,15,11,13.18,11,11.36,11,11,0,119,6067,50.98319327731093,49,13,106,1,9,622,631,29,631,9,2,0.3468570709228513,0.0385396745469834
0dfe7b8fe532ae4b85f64ef11aa478e2abae8d0c92d8118f0169c43600dc7d6af517139f1b8c5305ad5ba7b14d03812a910962649881d3be1af39434f350f6eb,成都,青白江分公司,5,0,0,0,230.04,0,0,0,0,1,265,60249,227.35471698113207,247,265,0,2,2,64,66,5,66,17,17,123.51037979125978,7.265316458309399
0708b0ebd50a7eefd2040b84c4a20c10531d088bdc8eef5f8a59af927217c68232b6b98670250927610fb56e3f3e91f25f07bfb4b8b00e52788766eda944e03e,成都,新都区,2,174.43,204.58,198.85,206.54,205.84,198.75,208.81,198.7,0,1351,122995,91.039970392302,131,647,704,1,8,1020,1028,97,1028,1253,297,158989.9239912033,126.88740941037774
327135277270d460b7664eb975452b646630adda11cc27ce0804a7ce8b513ed6f7853a9c8c4273b319794b95413ebab24ba494055a4e6bdc75ba82cd109e6436,遂宁,高新南区,1,71.6,71.7,71.6,73,73,73,73,73,0,481,39168,81.43035343035343,160,147,334,1,7,1601,1608,405,1608,1709,474,151081.1866569519,88.40326896252306
bdfc6bac42ddb200415f38f5b53401fc3ea134f0ec5cfe67fc2e6c23f13fd7795cc800b8fba90cc7c06a458c5afe2d578a76dbd4168b00e5472f854d66bed284,宜宾,筠连县分公司,2,5,5,5,5,5,5,5,5,0,561,98637,175.8235294117647,39,183,378,1,0,521,521,34,521,3,2,0.0349302291870116,0.0116434097290038
337adca02abb4e2b17d9706912658a9b1d782099d3f85ccb917082c0eaed84de4edb025f53aa2ef8417f178a569ac2e9ee9ce8658f7365dee998041f9e14cc7c,遂宁,双流区,3,117.91,117.64,119.42,119.2,131.02,124.01,118.82,119.41,0,1097,68470,62.41567912488605,103,701,396,3,0,1058,1058,78,1058,570,234,55526.65815639496,97.41518974806134
f844226258c3cfa19969797e3e183a4cc15c29a17eab96bfd1f2e87e383eeda8b560dbf582fd304a73e7eadede7ec762eb264aa6df42080376d348bdfaeac934,成都,锦江区,5,0,0,0,11.09,19,23.99,23.5,450.44,1,33,6094,184.66666666666663,17,31,2,12,31,254,285,25,285,55,46,7.593123435974118,0.1380567897449839
c8e86aa23e02cbecfd5fe9187f7a25c3e7f9d662a429ed17bcd5db1cbce7fddac6922964415a96e14cc10fbaadf539a5b8605bbd9b687ff06cb797e50a9436d2,成都,新都区,4,0,0,745.26,94.62,19,0,0,0,1,100,23783,237.83,84,100,0,4,4837,2654,7491,7239,7491,21,21,157.5901098251343,7.504290944054015
9c3bfd848bfb72073cc7df767c29685d96aa3c8ffb456cf7b2efa129620ac95ed46a3da487c6f67c6a84b8b7ac25c1e440affc941a173c926a9c94573769fd14,成都,青白江区,2,52.26,28,28,28,28,28,28,28,0,244,18739,76.79918032786885,47,162,82,1,7,525,532,69,532,735,180,17230.871740341187,23.443362912028824
2303b7c370a7a60d5f0e113dd0fa15b16d2acd01f9aab092151d4ba158a14e87fdeb7bee2ef7f0e64388d3ec013ba807493489584d1b4b37b664a5cb83df0ffb,成都,成华区,1,102.6,103.4,102,103.2,102,102,102,102,1,543,23955,44.11602209944751,274,222,321,2,83,4708,4791,1230,4791,2029,554,193788.9520225525,95.50958699977944
09bf4bae88366e9cef06567ee5d5ef62ebc59da995bce77e5bdc381c2c4d4cf804bfff26641c034e3b965a13988f2f566110fcbd9149558819ff16dc2fc07908,内江,威远县,1,61.1,61.4,61.1,61,61.3,61.2,61.5,61.5,0,442,25664,58.06334841628959,33,234,208,2,22,1966,1988,77,1988,1101,314,41388.53278541565,37.59176456441022
65cffa7e3a8bf03ef12e5a1b6a97b9e6c685c7fa417e38931e92218736d38e82ae18019c8522afe44e4794d979096429fe5c73d32167e76d592230ac577784ea,成都,武侯区,1,113.51,106.1,112.27,156.66,159.23,106.6,106.1,233.8,0,4313,318199,73.77672153953165,226,2223,2090,1,54,1331,1385,217,1385,1260,274,63350.90568065643,50.27849657194955
6483e27cf219ce1ad8c8877471b79cbf76ac8cc92f1743629d51c9856ec06881e703a12645e36a151a063510fce895594cd85a69bb175698f6f961ef6b3d2b05,成都,武侯区,1,14,14,14.4,14,14.2,14.1,14,14.4,0,594,46833,78.84343434343434,271,272,322,1,14,3696,3710,518,3710,1933,433,75471.9900226593,39.043967937226746
5bad86c505fa1165d8863be830c743570bf2cd6dbf4a5941f1bfc1850205c0906d519b3c18c2fc13247d851d3ed255b70aa9ef366f0c73f4f457d0b700e2d072,广安,广安区分公司,1,2,2,2,2.1,2,90,2,2,1,145,9142,63.04827586206896,131,129,16,2,20,110,130,26,130,0,0,0,0
10eeaa0f0c193824abaf0269ebcf3eaffcc1b83657715325cfbe9ceae27e839779d57eb41e7d0116ba4973144b20dbc0928687b37bb96931a9756142dc63afd1,成都,锦江区,2,4.11,10.79,34.54,4.3,4,4,4.1,4.1,0,1340,160433,119.72611940298508,153,558,782,2,7,1262,1269,219,1269,641,172,16740.738807678223,26.11659720386618
b14d9ddf92d9ce73bcd974a58e0efecd2012bfe87f8836a9241c4143bd650e657505007735f099a3fe0965ef282854263695acc8f1e66a5586dbf0334c6f5d1a,绵阳,江油市,1,36.29,38.63,41.74,25.38,34.73,25.22,52.14,30.7,0,663,108065,162.99396681749622,44,235,428,1,0,667,667,32,667,0,0,0,0
04f29ed2cb3114ab3315155040b1ad0d76566b59c14fdccba1d275daf6f7b5c873ceb926bd0d401cc0b9c678ff56b6628d6c61af1c8ad65bc66f2288b61549eb,广安,广安区分公司,2,2.46,4.09,5.26,4.1,7.37,5.68,3.65,3.68,0,336,33543,99.83035714285714,53,202,134,1,0,634,634,39,634,75,45,59.007450103759766,0.7867660013834635
4a50a082ead1c5691e8c44b2a74a59042798c616d2c8987e265dce1052f0a2f362dd863e755ee495ff92235b593e88d7eabab0b9ebfde1db765275666ad13d6c,成都,武侯区,1,1,1,1,1,1,1,1,1,0,1149,46170,40.18276762402089,210,440,709,1,3,1595,1598,351,1598,1159,287,32753.432156562805,28.2600795138592
da99c3ade3eb00815a7654acc8e03329d75973ac5e2064e36adc45322b4064d5f7f01aedc2aaeff1288a6f7db04ad890f96bdd8346c3e0a8f41711a4077018f0,绵阳,江油市,1,0,0,0,1,15,0,0,0,1,25,1553,62.12,11,25,0,2,13,15,28,6,28,8,8,2.306102752685548,0.2882628440856934
95ca76270ec248574d2d0669bc0fce822762186d051f3a58d8312f950742c3642fbb87619a3dd95c1f6b4a13e5e3c848ee4ee307c55bafb37635d8abffcaf09b,成都,未知,4,0,0,0,0,0,0,0,54.77,1,192,9157,47.692708333333336,150,192,0,2,3,55,58,10,58,37,37,35.428601264953606,0.957529763917665
241be67e13e2ac318e7080f87345ced8bd7b371f88f648e1fb16eeb0d0727903699b47cea6810b99d7af3abef195b32275d03eaf6749e4fcfa0f180a050f624c,泸州,江阳区,3,60.2,59.3,59.67,59.1,59.27,63.7,63.3,63.6,0,547,38324,70.06215722120658,75,224,323,1,51,1245,1296,312,1296,1186,277,31863.89375782013,26.86668950912321
414846c4b6d9de93a20181adc38bdd28ac890e7e5f67e106b8d3609ab447ad6b5144e570f5dfa0d0a271ec2852c29a7c9daad47fe605fef7957feecfe2d30a44,成都,温江区,4,1.2,1,1,1,1,1,1.1,1,0,294,75974,258.4149659863946,55,266,28,2,1,260,261,48,261,848,236,29253.963221549988,34.49759813862027
362a7f337d324bb024018733b1d4a3462129aa08459661ba9d665f1c30fdab6ed11f5febd1dd5c8d8067b952cb3d27a998a26cbae09769104a7efff1a1aacfe1,雅安,锦江区,1,157,157.1,156.9,159,159,159,159,159,0,422,42177,99.94549763033176,44,191,231,1,4,1629,1633,106,1633,1343,354,37951.96304988861,28.259093856953545
4a692ea1b3346b6168d945ed42630a7319d1536f8cedb467f0d70fc187662c2c5a739f143c314af3e9bc373a0d02344e64d297ccfd1d41f3cd6f7fcb6d0e4428,成都,绠闃冲垎鍏徃,4,0,0,0,0,0,46.66,0,0,1,167,6034,36.131736526946106,139,162,5,1,3,35,38,5,38,2,2,0.0025949478149412,0.0012974739074706
c2738cec3205dfcf3850bbf94cc975eb6cc35c0518943b17c7b96158f810a211195917f5ed780cf7ffa74bb650f2e62c1b3608732e8898d12ec569241ec206bc,成都,天府直属部门,3,117.62,151.67,124.08,161.35,103.3,106.41,79.12,113.37,0,974,173959,178.60266940451746,156,511,463,1,7,1924,1931,455,1931,2222,619,221792.407204628,99.81656489857244
931573aaba554b1c0c76fa56d35f0aaf41469064c493d515f36ae1c95998aadcb8373b540da6a1145804bde6c8884748709f28f195f3c27abd1ca4e5cac3d184,攀枝花,仁和区,1,31.97,28.93,62.63,45.3,24.56,23.99,20,20.95,0,427,75793,177.50117096018735,46,223,204,1,0,567,567,26,567,412,126,3035.5896158218384,7.367935960732617
71ce0be5779db6dc5f96ef0e24a5d0fbc6d9ea80cdcd2822e51782c219e0ec0269418c52b62da9ec07fd9bdf3bf8bdf49efd4daa1f016f3b3078701de82690cd,南充,南部县,1,25.27,28.69,26.13,27.17,27.74,22.42,35.15,53.77,0,404,57354,141.96534653465346,72,218,186,2,3,619,622,41,622,960,240,7800.047245979309,8.12504921456178
e38ee69f77d942aa45e81ec7da9f5948ac527b081f3af9e78f348fee944926fc0a644cc88cbec3e05c1976b7f2c8f1f6e153a96871abad25a7ee3a566352df5d,绵阳,游仙区,4,174.5,174.5,174.5,160,82.75,75.05,79.9,99.95,1,2762,196807,71.25524981897176,539,1569,1193,1,60,3273,3333,688,3333,2075,502,125159.15027809145,60.31766278462238
3d78ba390b7d395362c3c12fbde309cae8a8c2ca77ac5c4255ce4523245988d3e4feb9d59beaf7d696e58287ba5ca81743ae5f17e76ff8e4cdad3661f983c318,成都,邛崃市,2,22,22,22,22,22.39,22,22.44,22,0,281,28573,101.68327402135232,44,103,178,2,28,791,819,43,819,775,226,92638.03623962402,119.53294998661164
9455808b8c83066f6a80aaa367642c43e7a8c5b7fef271e4c48b8cc69b63990e967818ca756a78b031a00a0ccf10336bb29b7b45e439da7d38418bcf4cebd030,成都,天府新区,3,1.4,1,1,1,1,1,1,1,0,392,44735,114.11989795918367,33,159,233,1,0,402,402,64,402,553,131,17465.91478061676,31.58393269550952
c1b0dbcdb4a01d72cc485fbbdd9ed4c2e64bde80ebb0ea4fd76bad8f7636d68d07d7d6d6f6191c0b4ab40e9507a177e8b0760507fe6448ef8c1d30d450d0f789,成都,都江堰分公司,1,21.8,16.88,15.62,15.62,17.24,17.24,23.18,15.98,0,141,11595,82.23404255319149,20,83,58,1,0,130,130,11,130,14,5,0.0984430313110344,0.0070316450936453
1c4794c2552aaff2b93e7e048d31c57df435fdf522ff09d30228cc62fdce6f267a071c76c9e005d58973a61abc9d152aa1245f7b52d63104981fea372353e392,成都,青羊区,3,1.8,1,2,2.1,19.1,19.1,19.2,1.2,0,322,23207,72.07142857142857,128,132,190,1,31,820,851,313,851,900,285,31941.489574432373,35.49054397159153
bba99642353deab564eb8bbef86ea8db5f84a2869ab9a1eb8a0fe2eda77b164894fcde2dce0a03c8507c3e9a0f1cdb62753d38cbd9a5cb69afbe087779a213e5,达州,通川区分公司,2,53.64,50,50,50.4,51,53.4,51,51,0,372,25800,69.35483870967742,144,176,196,1,40,1983,2023,405,2023,1605,438,133767.2706747055,83.34409387832119
41a974d72a9531876b910c02b581fa219d6645c62835777a918dfa505560a93afe1dcc61d532499435ddeffa9ed8bda510614fba285eaa30072875e13c2c1695,德阳,旌阳区,1,31.41,42.62,39.77,32.36,24,29.7,25.52,30.08,0,768,44226,57.5859375,83,342,426,1,5,1603,1608,28,1608,9,4,0.1567983627319333,0.0174220403035481
d4264372c04594af0970fdb34162db7d90779f4c645618fb9bbb5e1c38c61d6457ae4c7add3823b8f247684f8c0167bbf4e690f4d4808aea53bb34a0caf416ad,雅安,郫县,2,49.1,1,1,12.41,18.66,1,1,1,0,1480,114244,77.19189189189188,74,968,512,2,1,354,355,26,355,276,85,1390.0149040222168,5.036285884138467
ea03abc1773b9a0b84f0b05e8b3fe0b793fb89b3b201281e6fc7d32c31ebf271e274e5b7dbe86aa126209115ea0f8f33afe6f7dacddf46406d3275f8dda4c4a2,广安,广安区分公司,0,2,2,2,2.1,2,155.6,2,2,1,172,18520,107.67441860465117,146,137,35,2,10,130,140,39,140,0,0,0,0
b2c0275146e922bb1c5534a105c3394465c3702c43ea2484027058629b4055e21e23a98d584330e0722e2e57a2fe503294b8d5bd17c195c61fc0fb64e94dcb8f,凉山,宁南县分公司,1,39,39,39,39,39,39,39,39,0,54,7115,131.75925925925927,14,37,17,3,1,667,668,25,668,67,51,24.35407733917236,0.3634936916294382
b579851a3638f4b178cbc85cdfcf6a10ba9b26b1b736ba5387ef59d1b2955f6e7f9e47625a0a83e5e577b45f4b9e19381c33f4f845ba3ade8f788b6ca405b8db,南充,西充县,1,0,0,0,0,23.76,18.9,24.4,18.7,1,23,4735,205.8695652173913,20,20,3,3,192,64,256,192,256,57,54,56.05447196960449,0.9834117889404296
ce7169d9559034b663e57c3d9ee4fe07b32b4b42a1641f2ffa0dbfe16acfcb14b29a191bb762dd8cf37e0a29049eeaac473258315383aec01c4bd07644a2b8b9,遂宁,蓬溪县,2,5.44,1.07,1.13,1.12,1.11,1.11,1.11,11.82,0,58,2998,51.689655172413794,5,18,40,1,1,184,185,25,185,169,126,2536.948386192322,15.0115289123806
ff695802a9d2dca6235f4f72fd5be0164819bf9ff0a347d780feda4a26c5cfc745eb7d2e25f832cb2ef85efa0fdfede484ff06853c1bdd2c662d0074365b7156,成都,未知,5,0,0,0,144.97,0,0,0,0,1,218,35431,162.5275229357798,208,213,5,1,1,53,54,4,54,0,0,0,0
a6d3c390f393c38d5fb2690d1ef95f040dc967e799769ab675ecf8620d985372864b1eaddf8fb6396125908c49f283c71e4d330fe5c84dcda51a5cd4afa3c4ee,成都,锦江区,1,27.54,32.7,22.25,50.39,93.78,22,22.29,22.1,0,325,24470,75.29230769230769,92,18,298,6,7,2947,2954,541,2954,290,155,3562.8437814712524,12.285668211969837
f80d6ed449d9325b97dbc44a52a2ed33267cca4212a5114639adc9141dfd0ada392da215c0bb5a7c016ac0adb8d4c49334519d57f7aa78897918881e5a8262ca,成都,蒲江县,4,75.3,75.1,75,75,75.3,78.6,75.08,75,0,1201,45858,38.183180682764366,186,568,633,2,48,1382,1430,202,1430,1140,292,106005.46751213074,92.98725220362346
9ecd797bef0dd52d5a867b838739da9ae09791eb96191208e9520d6e375bae5f86604a01e8d86eacbbc03389dbb6efadce233ca7894d876f78be801c345f7b67,德阳,旌阳区,2,21.19,21,21.1,21,21,21.38,21,21,0,210,13085,62.30952380952381,38,88,122,2,0,554,554,31,554,94,64,121.43184471130373,1.2918281352266352
e496e5eac8dec583d8023970bda5c3b041f58eadc3943d312c4bcfed1050c71edf27b703e0382e456cef379e734f07d9e19a5cf0df517023c77c03f230c423dd,德阳,旌阳区,3,0,0,0,0,0,0,11.94,19.2,0,165,15767,95.55757575757576,24,144,21,1,1,206,207,14,207,3,3,0.7583122253417968,0.2527707417805989
d676fac5508cbc96fcf97f44b8536ac47a285f78b989a30fdf30ee695b5d77c88928e984c07a2b43f88d57bb33ee820971e55e3dea9b5a5b21d8f086b7733d33,成都,双流区,4,19,19,19,20.1,25,25,25,25,0,7,654,93.42857142857144,3,6,1,2,11,49,60,7,60,33,25,0.9892969131469712,0.029978694337787
4e3f0a61ccc25517da1e939d712318ce7eccc04a1cdb0f2b41ea5d31a10f8270f73dac7f0e1534a286305d05a0ea8018c86298b210e48f82be71957116b46151,达州,宣汉县分公司,4,101.05,50.84,78.99,20.64,91.47,74.99,99,9,0,117,11506,98.34188034188034,20,57,60,1,63,1442,1505,100,1505,1197,324,57381.42736816406,47.9377003911145
525824db5fb3ee7438244c5ca2f190cc48760352b1894c230b985ace3c89199fd1f37f0656cbf895dab5891333562a57ff54c7cf82ad863d327789f8266f619c,绵阳,游仙区,1,20,20,20,20.2,20,20,20,20.1,0,509,23562,46.29076620825148,159,112,397,2,10,1949,1959,240,1959,783,181,7435.432181358337,9.496081968529166
6b4999280b1f69a44e4e4b4d624e7d2055a1a407b449ebe1da613a7d79c42cc54c8d52798e7fc57423adbeb6a81dbdfc7e2a44b49423455136a86206dec7a3e7,成都,锦江区,1,0,0,0,0,0,0,0,0,1,158,20955,132.626582278481,134,158,0,4,3,31,34,6,34,11,11,145.250693321228,13.204608483748
